Fecha,Canal,Titulo,Nombre Capitulo,Descripcion,Info adicional,Horario
2025-02-24,Nine,World's Greatest Myths and Mysteries,Lost Treasures and Hidden Secrets,"We explore ancient wonders and lost artefacts, from Pompeii's ruins and Egypt's Great Pyramid to Angkor Wat's carvings. Dark tales emerge revealing myths.",Documentary | Australia | 2024 | PG,12:00AM - 1:00AM
2025-02-24,Nine,Destination WA,,"Trevor's got an eye for outback fashion at the Enchanted Colours runway event, Kate sees a kaleidoscope of colour, bringing cultural diversity to fashion, and Trevor's searching for pearls again at Willie Creek Pearl Farm.",Travel | Australia | 2024 | G,1:00AM - 1:30AM
2025-02-24,Nine,TV Shop - Home Shopping,Total Gym FIT,Home shopping program.,Shopping | USA | 2023 | G,1:30AM - 2:00AM
2025-02-24,Nine,TV Shop - Home Shopping,InstaChill,Home shopping program.,Shopping | USA | 2023 | G,2:00AM - 2:30AM
2025-02-24,Nine,TV Shop - Home Shopping,EZwell Remedy Massage System,Home shopping program.,Shopping | USA | 2023 | G,2:30AM - 3:00AM
2025-02-24,Nine,TV Shop - Home Shopping,Transforma Ladders,Home shopping program.,Shopping | USA | 2023 | G,3:00AM - 3:30AM
2025-02-24,Nine,TV Shop - Home Shopping,Total Gym FIT,Home shopping program.,Shopping | USA | 2023 | G,3:30AM - 4:00AM
2025-02-24,Nine,Believer's Voice of Victory,We Walk by Faith and Not by Sight,The mission of Kenneth Copeland Ministries and Eagle Mountain International Church is to teach Christians worldwide who they are in Christ Jesus and how to live a victorious life in their covenant rights and privileges.,Religion | USA | 2025 | PG,4:00AM - 4:30AM
2025-02-24,Nine,Surfing Australia TV,,Showcases Surfing Australia's programs from junior development through to the elite athletes in surfing.,Sport | Australia | 2025 | G,4:30AM - 5:00AM
2025-02-24,Nine,Today Early News,,Today Early News with up to date news from Australia and around the world as well as the latest in sport and weather.,News | Australia | 2025 | NC,5:00AM - 5:30AM
2025-02-24,Nine,Today,,"Karl Stefanovic, Sarah Abo and the team present the latest in news, current affairs, sports, politics, entertainment, fashion, health and lifestyle.",News | Australia | 2025 | NC,5:30AM - 9:00AM
2025-02-24,Nine,Today Extra,,"An exciting mix of topical issues, the best celebrity interviews, cooking with Australia's top chefs, live music performances, and the latest in fashion and beauty trends.",Variety | Australia | 2025 | PG,9:00AM - 11:30AM
2025-02-24,Nine,9News Morning,,Join 9News for up to the minute news on local and international news including sport and weather.,News | Australia | 2025 | NC,11:30AM - 12:00PM
2025-02-24,Nine,Married at First Sight,,Commitment Ceremony. A shock decision to part ways leaves one bride with serious regrets.,Reality/Real-Life | Australia | 2025 | PG,12:00PM - 2:00PM
2025-02-24,Nine,Pointless,,"Hosted by Alexander Armstrong. Four teams of two contestants attempt to find correct answers to four rounds of general knowledge questions, with the winning team eligible to compete for the show's cash jackpot.",Game Show | UK | 2023 | PG,2:00PM - 3:00PM
2025-02-24,Nine,Tipping Point,,There are mystery prizes and a jaw-dropping jackpot up for grabs for any player with the skill and strategy to see off their human rivals and conquer the machine. Hosted by Ben Shepherd.,Game Show | UK | 2022 | PG,3:00PM - 4:00PM
2025-02-24,Nine,9News Afternoon,,"9News Afternoon, live and local with the latest news across Australia and around the world including sport and weather.",News | Australia | 2025 | NC,4:00PM - 5:00PM
2025-02-24,Nine,Tipping Point Australia,,Tipping Point Australia will push contestants' luck to the very edge. Three contestants will go head to head against the mesmerising machine with one lucky contestant playing for the Jackpot. Hosted by Todd Woodbridge.,Game Show | Australia | 2025 | PG,5:00PM - 6:00PM
2025-02-24,Nine,9News,,"Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.",News | Australia | 2025 | NC,6:00PM - 7:00PM
2025-02-24,Nine,A Current Affair,,"Covers the realms of politics, crime, human rights, science, technology, celebrities, and entertainment, all investigated by a dedicated team.",Current Affairs | Australia | 2025 | NC,7:00PM - 7:30PM
2025-02-24,Nine,Married at First Sight,,Meet the Family Week. When the couples' family and friends get together some relationships are strengthened while others are tested to the limit.,Reality/Real-Life | Australia | 2025 | M,7:30PM - 9:00PM
2025-02-24,Nine,ACS: The Investigators,Stolen Lives,"No body, no witnesses, no DNA, so how did Detective Dennis Bray solve the most notorious kidnapping in Australia's history?",Crime | Australia | 2024 | M,9:00PM - 10:10PM
2025-02-24,Nine,Life and Murder of Nicole Brown Simpson,,"18-year-old Nicole Brown meets 30-year-old superstar OJ Simpson, embarking on a whirlwind romance. While she maintains an exterior of the perfect housewife and mother, she privately suffers OJ's abuse and control.",Documentary | USA | 2024 | M,10:10PM - 11:10PM
2025-02-24,Nine,9News Late,,Join the 9News Late team for all of the day's top stories from Australia and around the world.,News | Australia | 2025 | NC,11:10PM - 11:40PM
2025-02-24,Nine,First on Scene,,Experience the raw moments captured by video journalists and hear the stories behind the headlines from those first on scene.,Documentary | USA | 2022 | M,11:40PM - 12:05AM
2025-02-24,9HD,World's Greatest Myths and Mysteries,Lost Treasures and Hidden Secrets,"We explore ancient wonders and lost artefacts, from Pompeii's ruins and Egypt's Great Pyramid to Angkor Wat's carvings. Dark tales emerge revealing myths.",Documentary | Australia | 2024 | PG,12:00AM - 1:00AM
2025-02-24,9HD,Destination WA,,"Trevor's got an eye for outback fashion at the Enchanted Colours runway event, Kate sees a kaleidoscope of colour, bringing cultural diversity to fashion, and Trevor's searching for pearls again at Willie Creek Pearl Farm.",Travel | Australia | 2024 | G,1:00AM - 1:30AM
2025-02-24,9HD,TV Shop - Home Shopping,Total Gym FIT,Home shopping program.,Shopping | USA | 2023 | G,1:30AM - 2:00AM
2025-02-24,9HD,TV Shop - Home Shopping,InstaChill,Home shopping program.,Shopping | USA | 2023 | G,2:00AM - 2:30AM
2025-02-24,9HD,TV Shop - Home Shopping,EZwell Remedy Massage System,Home shopping program.,Shopping | USA | 2023 | G,2:30AM - 3:00AM
2025-02-24,9HD,TV Shop - Home Shopping,Transforma Ladders,Home shopping program.,Shopping | USA | 2023 | G,3:00AM - 3:30AM
2025-02-24,9HD,TV Shop - Home Shopping,Total Gym FIT,Home shopping program.,Shopping | USA | 2023 | G,3:30AM - 4:00AM
2025-02-24,9HD,Believer's Voice of Victory,We Walk by Faith and Not by Sight,The mission of Kenneth Copeland Ministries and Eagle Mountain International Church is to teach Christians worldwide who they are in Christ Jesus and how to live a victorious life in their covenant rights and privileges.,Religion | USA | 2025 | PG,4:00AM - 4:30AM
2025-02-24,9HD,Surfing Australia TV,,Showcases Surfing Australia's programs from junior development through to the elite athletes in surfing.,Sport | Australia | 2025 | G,4:30AM - 5:00AM
2025-02-24,9HD,Today Early News,,Today Early News with up to date news from Australia and around the world as well as the latest in sport and weather.,News | Australia | 2025 | NC,5:00AM - 5:30AM
2025-02-24,9HD,Today,,"Karl Stefanovic, Sarah Abo and the team present the latest in news, current affairs, sports, politics, entertainment, fashion, health and lifestyle.",News | Australia | 2025 | NC,5:30AM - 9:00AM
2025-02-24,9HD,Today Extra,,"An exciting mix of topical issues, the best celebrity interviews, cooking with Australia's top chefs, live music performances, and the latest in fashion and beauty trends.",Variety | Australia | 2025 | PG,9:00AM - 11:30AM
2025-02-24,9HD,9News Morning,,Join 9News for up to the minute news on local and international news including sport and weather.,News | Australia | 2025 | NC,11:30AM - 12:00PM
2025-02-24,9HD,Married at First Sight,,Commitment Ceremony. A shock decision to part ways leaves one bride with serious regrets.,Reality/Real-Life | Australia | 2025 | PG,12:00PM - 2:00PM
2025-02-24,9HD,Pointless,,"Hosted by Alexander Armstrong. Four teams of two contestants attempt to find correct answers to four rounds of general knowledge questions, with the winning team eligible to compete for the show's cash jackpot.",Game Show | UK | 2023 | PG,2:00PM - 3:00PM
2025-02-24,9HD,Tipping Point,,There are mystery prizes and a jaw-dropping jackpot up for grabs for any player with the skill and strategy to see off their human rivals and conquer the machine. Hosted by Ben Shepherd.,Game Show | UK | 2022 | PG,3:00PM - 4:00PM
2025-02-24,9HD,9News Afternoon,,"9News Afternoon, live and local with the latest news across Australia and around the world including sport and weather.",News | Australia | 2025 | NC,4:00PM - 5:00PM
2025-02-24,9HD,Tipping Point Australia,,Tipping Point Australia will push contestants' luck to the very edge. Three contestants will go head to head against the mesmerising machine with one lucky contestant playing for the Jackpot. Hosted by Todd Woodbridge.,Game Show | Australia | 2025 | PG,5:00PM - 6:00PM
